Word,Freq,Rank
the,126,1
and,105,2
our,58,3
that,48,4
are,22,5
this,20,6
will,19,7
but,17,8
have,16,9
not,16,10
for,15,11
who,14,12
has,14,13
you,14,14
can,13,15
nation,12,16
with,11,17
new,11,18
they,11,19
those,10,20
America,10,21
Our,9,22
The,9,23
their,9,24
For,8,25
must,8,26
than,8,27
every,8,28
been,8,29
because,8,30
its,7,31
all,7,32
these,7,33
when,7,34
world,7,35
less,6,36
cannot,6,37
too,6,38
people,6,39
They,6,40
common,6,41
And,6,42
work,6,43
from,5,44
day,5,45
what,5,46
generation,5,47
time,5,48
now,5,49
more,5,50
only,5,51
today,5,52
know,5,53
God,5,54
let,5,55
spirit,5,56
was,5,57
them,4,58
seek,4,59
whether,4,60
before,4,61
long,4,62
peace,4,63
nor,4,64
greater,4,65
which,4,66
women,4,67
crisis,4,68
hard,4,69
meet,4,70
men,4,71
end,4,72
words,4,73
come,4,74
This,4,75
through,4,76
far,4,77
power,4,78
things,4,79
carried,3,80
jobs,3,81
across,3,82
freedom,3,83
nations,3,84
hope,3,85
What,3,86
say,3,87
children,3,88
off,3,89
moment,3,90
man,3,91
history,3,92
between,3,93
life,3,94
many,3,95
small,3,96
there,3,97
last,3,98
most,3,99
ourselves,3,100
upon,3,101
But,3,102
Americans,3,103
force,3,104
courage,3,105
journey,3,106
over,3,107
some,3,108
just,3,109
father,3,110
ideals,3,111
shall,3,112
forward,3,113
your,3,114
economy,3,115
out,3,116
oath,3,117
care,3,118
were,3,119
prosperity,3,120
question,3,121
old,3,122
future,3,123
once,3,124
may,3,125
government,3,126
birth,2,127
duties,2,128
afford,2,129
waters,2,130
hours,2,131
mutual,2,132
grows,2,133
feed,2,134
build,2,135
promise,2,136
calls,2,137
done,2,138
service,2,139
extend,2,140
well,2,141
make,2,142
purpose,2,143
bless,2,144
greatness,2,145
confidence,2,146
take,2,147
success,2,148
part,2,149
often,2,150
liberty,2,151
lower,2,152
longer,2,153
traveled,2,154
then,2,155
still,2,156
lines,2,157
planet,2,158
answer,2,159
enduring,2,160
task,2,161
find,2,162
prosperous,2,163
remain,2,164
back,2,165
fail,2,166
With,2,167
without,2,168
face,2,169
storms,2,170
health,2,171
taken,2,172
throughout,2,173
again,2,174
given,2,175
era,2,176
like,2,177
stronger,2,178
true,2,179
good,2,180
nothing,2,181
big,2,182
even,2,183
remember,2,184
war,2,185
These,2,186
icy,2,187
also,2,188
schools,2,189
understood,2,190
blood,2,191
stand,2,192
false,2,193
fear,2,194
wealth,2,195
faced,2,196
year,2,197
way,2,198
play,2,199
met,2,200
each,2,201
why,2,202
American,2,203
West,2,204
child,2,205
age,2,206
virtue,2,207
All,2,208
understand,2,209
rather,2,210
friend,2,211
challenges,2,212
meaning,2,213
ambitions,2,214
faith,2,215
knowledge,2,216
did,2,217
short,2,218
Earth,2,219
one,2,220
never,2,221
forth,2,222
path,2,223
willing,2,224
Let,2,225
market,2,226
defense,2,227
trust,2,228
Where,2,229
passed,2,230
workers,2,231
charter,2,232
use,2,233
gift,2,234
winter,2,235
might,2,236
free,2,237
something,2,238
brave,2,239
country,2,240
earned,2,241
minds,2,242
better,2,243
conflict,2,244
restore,2,245
begin,2,246
light,2,247
mall,1,248
habits,1,249
ushering,1,250
civil,1,251
give,1,252
idea,1,253
wisely,1,254
President,1,255
mountains,1,256
non,1,257
expedience,1,258
around,1,259
skill,1,260
cynics,1,261
survive,1,262
local,1,263
helps,1,264
bind,1,265
energy,1,266
sum,1,267
endured,1,268
soon,1,269
ill,1,270
surest,1,271
noble,1,272
safely,1,273
Founding,1,274
dying,1,275
destiny,1,276
source,1,277
wonders,1,278
families,1,279
enjoy,1,280
consider,1,281
